name_sport,location_sport,dcode,stdcode,type_sport,area_sm,data_perf,ownership,chairman,detail,num_users,sum_month,sum_year,remark
เพชรสยาม,ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,1005,A,1,1100,มีการจัดกิจกรรมฟุตบอล และตะกร้อ,กทม.,นายพงษ์ทวี พันธ์ลำเจียก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วิ่ง,สนามเด็กเล่น",230,3,2564,
หมู่บ้านเมธา  1,2298 ซ.  สยามธรณี  แขวงท่าแร้ง,1005,C,1,40,,เอกชน,นายเฉลิมชัย  คงสุวรรณ,"ฟุตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",225,3,2564,
ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,8510 ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,150,มีการจัดกิจกรรมวอลเลย์บอล และแบดมินตัน,เอกชน มีสัญญายินยอม,นายยุทธนา  แสนละเอียด,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",40,3,2564,
ฝนทองนิเวศน์,ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,70,มีการจัดกิจกรรมเครื่องออกกำลังกาย และแอโรบิค และตะกร้อ,เอกชน,นางดวงใจ  ทองประเสริฐ,"ตะกร้อ,บาส,ฟุตบอล,ปิงปอง,วิ่ง,จักรยาน,สนามเด็กเล่น",70,3,2564,
สมาคมหมู่บ้านสวัสดิการ(ทหารบก) อยู่เย็นเป็นสุข,ซ.รามอินทรา 34 แขวงท่าแร้ง,1005,A,1,200,มีการจัดกิจกรรมบาสเกตบอล แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายทศพร  สนิท,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส,แบดมินตัน,เปตอง",575,3,2564,
ชุมชนหมู่บ้านสดใส,5983 แขวงคลองถนน (กูบแดง) แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,200,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเครื่องออกกำลังกาย,เอกชน,พันจ่าอากาศเอกวีระศักดิ์ ยี่สุ่นศรี,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",540,3,2564,
ปั้นทอง 3,ถ.ลาดปลาเค้า 85 แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,800,มีการจัดกิจกรรมเครื่องออกกำลังกาย,เอกชน,นางสิรัชชา  เดชายาประสิทธิ์,"ฟุตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,วิ่ง,แอโรบิค,สนามเด็กเล่น",634,3,2564,
สินทรัพย์นคร ลาน1,ซ.พหลโยธิน 50 แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเปตอง,เอกชน มีสัญญายินยอม,นายจตุพร  สังข์ทอง,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,สนามเด็กเล่น",427,3,2564,
อยู่เจริญ,ซ.พหลโยธิน 50 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายเสถียร  ตรีภพ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตั้น,วิ่ง,สนามเด็กเล่น",795,3,2564,
โรงเรียนบ้านคลองบัว,ซ.รามอินทรา31 แขวงท่าแร้ง เขตบางเขน,1005,C,2,300,มีการจัดกิจกรรมฟุตบอล วอเลย์บอล และสนามเด็กเล่น,กทม.,นายสุภาพ  น้อยมาก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน",1777,3,2564,
